text,label_text,Predicted_label
"Do you allow teen accounts, and if so, from what age?",age_limit,age_limit
What age threshold applies for a savings account in a child’s name?,age_limit,age_limit
At what age can a minor upgrade to a full checking account?,age_limit,age_limit
Are there different age limits for debit cards versus basic accounts?,age_limit,getting_spare_card
Minimum age for a joint account with a parent—what is it?,age_limit,age_limit
From what age can a teen access online banking features?,age_limit,age_limit
Do prepaid or youth cards have a lower age requirement?,age_limit,getting_spare_card
"Is parental consent required below a certain age, and which age?",age_limit,age_limit
"I’m comparing youth banking options for my two kids, ages 11 and 15; please clarify the age limits for opening a starter account, issuing a debit card, and enabling online access, and specify whether parental consent or identity documents are required at each age tier.",age_limit,age_limit
"Our family is moving this summer, and I’d like to know the minimum age to open a new account for my teenage son, including whether regional age rules differ, if he can get a debit card immediately, and what happens when he reaches the full adult threshold.",age_limit,age_limit
"I supervise a school program where students receive stipends; what is the minimum age for participants to open an account in their own name, and are there exceptions for minors with a guardian signature, plus any restrictions on ATM withdrawals or online transfers?",age_limit,cash_withdrawal_charge
"My daughter just turned 14 and started a part-time job; can she open a bank account now, what age limits apply to teen accounts, and which features—like contactless payments, mobile wallets, and transfers—remain disabled until she reaches the standard adulthood age?",age_limit,age_limit
"We want separate accounts for each child to manage allowance; outline the age requirements to open a custodial or youth account, whether a debit card is available at the same age, and the process for converting to an individual account when they reach eligibility.",age_limit,age_limit
"I mentor first-year college students; please confirm the minimum age to open an independent checking account, whether student plans have different age rules, and if any age-based limitations affect overdraft protection, credit eligibility, or international card usage.",age_limit,age_limit
"Our company pays teen interns during the summer; what age limits apply for them to open accounts for direct deposit, do you allow joint accounts with parents for minors, and are there age-specific caps on daily spending or ATM cash withdrawals?",age_limit,age_limit
"I’m evaluating options for my 12-year-old to learn budgeting; clarify the age floor for a youth savings account, whether the same age qualifies for a linked debit card, and if app access for viewing balances is permitted under the minor’s own login.",age_limit,age_limit
"For families with children of different ages, do the minimum age requirements change between savings and checking, and can a 16-year-old hold an account independently while a younger sibling requires a guardian—please list the specific age breakpoints you enforce.",age_limit,age_limit
"We’re planning to open accounts for our twins before a trip; confirm the minimum age for issuance of a debit card, whether parental approval is mandatory below a certain age, and if age limits restrict contactless, online purchases, or cash withdrawals at foreign ATMs.",age_limit,age_limit
"Age floor for solo account vs. joint-with-parent—numbers only, please?",age_limit,age_limit
"17 y/o, passport + student ID—meets your account age rule or not?",age_limit,why_verify_identity
Youth debit age ≠ savings age—what are the exact cutoffs?,age_limit,age_limit
"Under 13: view-only access allowed, or blocked by your age policy?",age_limit,age_limit
Minimum age for card tokenization in wallets (Apple/Google) for minors?,age_limit,disposable_card_limits
Can I top up my balance using Apple Pay on my iPhone?,apple_pay_or_google_pay,apple_pay_or_google_pay
Can I use American Express with Google Pay to add funds?,apple_pay_or_google_pay,apple_pay_or_google_pay
Need a quick top-up via Google Pay before checkout.,apple_pay_or_google_pay,apple_pay_or_google_pay
Google Pay wallet linked; allow funding transactions.,apple_pay_or_google_pay,apple_pay_or_google_pay
"Do Google Pay top-ups work with prepaid cards, or only debit/credit?",apple_pay_or_google_pay,apple_pay_or_google_pay
Is there a daily limit for topping up via Apple Pay?,apple_pay_or_google_pay,apple_pay_or_google_pay
Pay with your own wallet on iPhone,apple_pay_or_google_pay,apple_pay_or_google_pay
"My girlfriend and I want to open wallet on our phones, I am currently using iphone 17 and my girlfriend is using samsung how can we activate the e-wallet on our app stores",apple_pay_or_google_pay,apple_pay_or_google_pay
"Google Pay top-ups used to work on my Android watch when paired with my phone, but recently every attempt shows “not supported”; is watch-only funding disabled, and do I need to start the top-up on the phone for the payment token to pass?",apple_pay_or_google_pay,apple_pay_or_google_pay
Funding via the handset wallet was declined repeatedly; check restrictions.,apple_pay_or_google_pay,declined_cash_withdrawal
Top up with iphone Wallet and keep the current card token.,apple_pay_or_google_pay,apple_pay_or_google_pay
"Our family account needs predictable funding while traveling; allow Google Pay top-ups from my Android phone even when roaming, document any foreign exchange fees or per-transaction caps, and ensure the balance reflects immediately so transit gates and hotel holds won’t fail during check-in.",apple_pay_or_google_pay,apple_pay_or_google_pay
"My American Express wallet credential passes in-store but fails when attempting a top-up; if AMEX is unsupported for funding, allow me to select a secondary Visa within Apple Pay at confirmation, preserving the same amount and preventing unnecessary declines or duplicate authorization holds.",apple_pay_or_google_pay,apple_pay_or_google_pay
"After a recent OS update, the Apple Pay top-up button disappeared from the funding screen; restore the control based on my locale, re-check wallet entitlements, and confirm that re-enabling does not require removing and re-adding cards or clearing private data from the device.",apple_pay_or_google_pay,apple_pay_or_google_pay
"Google Pay recognizes my new card and shows it as “ready,” but top-ups crash after I choose the amount; could this be caused by an outdated Google Play services version, a merchant category restriction, or a per-transaction cap applied to wallet-based funding?",apple_pay_or_google_pay,apple_pay_or_google_pay
"I’m trying to top up from Apple Watch while my phone battery is dead; is phone proximity mandatory to pass the funding token, or can the watch complete top-ups independently if it already holds the card for Apple Pay?",apple_pay_or_google_pay,apple_pay_or_google_pay
"My card issuer says 3-D Secure is required, but the Google Pay top-up flow never prompts for a challenge; do you support 3DS through Google Pay, and how do I enable step-up verification so these top-ups stop failing silently?",apple_pay_or_google_pay,apple_pay_or_google_pay
"GPay top-ups used to work on my Android watch when paired with my phone, but recently every attempt shows “not supported”; is watch-only funding disabled, and do I need to start the top-up on the phone for the payment token to pass?",apple_pay_or_google_pay,apple_pay_or_google_pay
"I’m traveling overseas and would like to add funds using Apple Pay from a different currency; does cross-border top-up work, are there FX fees or caps, and will the transaction settle immediately or remain pending until my home region becomes available again?",apple_pay_or_google_pay,apple_pay_or_google_pay
My card was swallowed so I used Apple wallet instead while I wait to get my card back please show me how to set up and use it,apple_pay_or_google_pay,apple_pay_or_google_pay
Apple Pay top-up = declined; AMEX ok in-store—funding blocked for AMEX only?,apple_pay_or_google_pay,apple_pay_or_google_pay
gpay topup stuck @ “processing”… cache clear or re-verify token?,apple_pay_or_google_pay,verify_top_up
"Watch-only top-ups supported, or phone link required for the wallet token?",apple_pay_or_google_pay,apple_pay_or_google_pay
ApplePay btn vanished after region switch—feature gated by locale?,apple_pay_or_google_pay,apple_pay_or_google_pay
GPay topup fails 3DS—no challenge shown; do you pass 3-D Secure via wallet?,apple_pay_or_google_pay,get_disposable_virtual_card
Show me which cash machines my card can use.,atm_support,atm_support
List the ATMs where this card is accepted.,atm_support,atm_support
Does my card work at out-of-network ATMs?,atm_support,atm_support
Point me to nearby ATMs that support my card.,atm_support,atm_support
Can I withdraw with this card at foreign ATMs?,atm_support,atm_support
Is any surcharge-free ATM network available for my card?,atm_support,atm_support
Do deposit-enabled ATMs accept this card for cash out?,atm_support,atm_support
Will contactless (tap) ATMs work with my card?,atm_support,contactless_not_working
Can I use this card at another bank’s machines?,atm_support,atm_support
Which cashpoints allow withdrawals with this card today?,atm_support,atm_support
"I’m traveling and need clear guidance on which machines support my card abroad, including any partner networks, local withdrawal limits, and whether I must enable international usage or a specific PIN format before attempting a cash withdrawal at the destination.",atm_support,change_pin
"Please confirm whether this card is eligible for surcharge-free withdrawals at affiliated networks, list the participating ATM brands, and note any per-transaction caps, daily cash limits, or additional fees that apply when I use non-partner or international machines outside my home region.",atm_support,cash_withdrawal_charge
"I’m in a rural area with limited access; tell me which nearby machines will accept my card, whether magnetic-stripe fallback is allowed if the chip fails, and if offline PIN or signature is supported when the ATM loses connectivity during a withdrawal authorization attempt.",atm_support,declined_cash_withdrawal
"For business travel, I need a map of compatible ATMs, including machines that dispense higher denominations, support multiple currencies, and provide receipts in English; also specify whether dynamic currency conversion is offered and if I should avoid it to reduce fees at foreign cashpoints.",atm_support,wrong_exchange_rate_for_cash_withdrawal
"Confirm if cardless access is available via QR/NFC at supported ATMs for this card, which brands offer it, and whether I must pre-authorize a cash code in the app; include any limits, expiration windows, and restrictions compared to standard chip-and-PIN withdrawals.",atm_support,atm_support
"My card is co-branded; outline which domestic networks I can use without fees, what happens at out-of-network machines, and whether weekend or after-hours withdrawals are subject to different caps or pending holds before the final posting appears on my transaction history.",atm_support,pending_cash_withdrawal
"I’ll be withdrawing cash near an airport; identify compatible ATMs inside terminals, indicate any special airport surcharges, and clarify if accessibility features (audio jack, large text, tactile keypad) are available on supported machines when using this card for cash withdrawal.",atm_support,atm_support
"Please detail whether deposits or balance inquiries are allowed on third-party ATMs with this card, and if so, how fees and limits differ from using your own branded machines; also note any machine types that block mini statements or PIN change functions.",atm_support,atm_support
"When using an ATM overseas, does this card require online PIN only, or will offline PIN work as well; list any countries or networks where one method is preferred, and warn me about machines that reject withdrawals without chip authentication.",atm_support,change_pin
"Share a compatibility checklist: supported ATM logos, accepted networks, regional exceptions, per-day cash caps, per-withdrawal limits, weekend processing nuances, and whether failed attempts at non-partner machines might place temporary holds on my available balance even if no cash is dispensed.",atm_support,wrong_exchange_rate_for_cash_withdrawal
Nearest ATM that won’t surcharge my card—send location now.,atm_support,atm_support
Out-of-network ATM OK or hard decline—what’s the rule?,atm_support,declined_cash_withdrawal
Chip read failed; will stripe fallback work for this card?,atm_support,apple_pay_or_google_pay
Intl cashout: which logos should my card follow (no fees)?,atm_support,cash_withdrawal_charge
Cardless QR/NFC cash—supported for this card or not?,atm_support,supported_cards_and_currencies
Set a low-balance trigger to auto-add funds from my saved card.,automatic_top_up,automatic_top_up
Turn on recurring top-ups every week during my trip.,automatic_top_up,top_up_reverted
Show the toggle to enable auto top-up in settings.,automatic_top_up,automatic_top_up
Auto top-up is off; activate it and keep my current funding source.,automatic_top_up,automatic_top_up
Pause automatic top-ups until next month.,automatic_top_up,automatic_top_up
Raise the per-transaction limit for auto top-up.,automatic_top_up,automatic_top_up
Set a target balance and refill to that amount automatically.,automatic_top_up,automatic_top_up
Enable auto top-up for my child’s card with a daily cap.,automatic_top_up,automatic_top_up
Notify me by push or email every time an automatic top-up posts.,automatic_top_up,automatic_top_up
"I’d like an automatic top-up that triggers whenever my available balance drops below $25; please fund from my default card, refill back to $100, and send a confirmation receipt. Also confirm any daily caps, per-transaction fees, and whether weekends delay the credit posting.",automatic_top_up,pending_top_up
"While traveling internationally, I want scheduled top-ups every three days, but only if my balance is under the threshold; keep using the same funding source, respect my daily limit, and warn me about FX fees or currency conversions that could occur during each automatic reload.",automatic_top_up,automatic_top_up
"Please configure automatic top-ups to run between 6 a.m. and 10 p.m. local time, avoiding nighttime transactions; set the trigger at 200, refill in increments of 100, and require a push approval if the previous attempt failed due to issuer or 3-D Secure challenges.",automatic_top_up,automatic_top_up
"I need automatic top-ups enabled for two profiles: personal and business. Apply different thresholds and caps, route charges to the appropriate saved cards, and generate separate statements so I can reconcile expense reports without mixing personal reloads with corporate activity.",automatic_top_up,automatic_top_up
"Set an automatic top-up to restore my balance to a target amount rather than a fixed increment; for example, refill directly to 1,000 whenever I dip below 150. Include a clear ledger entry that shows trigger, source, and resulting balance after the reload finishes.",automatic_top_up,automatic_top_up
"After a declined attempt, retry the automatic top-up once every hour up to three times, but stop if the issuer returns a hard decline; send me a message explaining the code and keep the feature enabled so the next cycle can proceed without manual intervention.",automatic_top_up,top_up_reverted
"Enable automatic top-ups for a supervised teen card with stricter controls: lower thresholds, smaller increments, and a weekly cap. Provide guardians with alerts and the ability to temporarily suspend the feature when spending exceeds limits or suspicious activity appears on the account.",automatic_top_up,automatic_top_up
"I prefer a calendar-based schedule over balance triggers; set an automatic top-up for the first and fifteenth of each month, post at 09:00, and avoid execution on bank holidays—roll to the next business day and notify me when the reload successfully settles.",automatic_top_up,automatic_top_up
"Please activate automatic top-ups but block them when I’m in roaming mode to avoid unexpected FX costs; instead, queue a single reload that runs when I’m back on my home network, and include a summary of any skipped events during the travel period.",automatic_top_up,automatic_top_up
"Configure automatic top-ups with compliance in mind: enforce minimum and maximum reload amounts, AML monitoring, and velocity checks; if a rule is tripped, pause further top-ups, alert me, and provide guidance to verify identity or adjust limits before the feature resumes.",automatic_top_up,automatic_top_up
"auto topup on @ low<25 → refill to 100; keep card on file, ok?",automatic_top_up,automatic_top_up
Need auto-reload Q3 only; pause Jul–Aug; cap 3/day; thresh 150; incr 50.,automatic_top_up,automatic_top_up
Last attempt = R05 hard decline; keep auto top-up enabled but skip issuer-blocked window.,automatic_top_up,automatic_top_up
"Triggered twice same minute—dedupe automatic top-ups so only one posts, pls.",automatic_top_up,automatic_top_up
"Travel mode: auto topup yes, but FX off—queue reloads; run on home network.",automatic_top_up,automatic_top_up
Enable automatic top-ups on my account when the balance falls below a threshold.,automatic_top_up,automatic_top_up
Balance didn’t update after my bank transfer—still showing the old amount.,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"Transfer completed this morning, but my available balance hasn’t changed.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
Where is the money I moved? The account total is the same.,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
Bank confirmed sent; my balance doesn’t reflect the transfer.,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"Incoming transfer shows “processing,” but funds aren’t in the balance yet.",balance_not_updated_after_bank_transfer,pending_transfer
I moved cash from another bank; no update on my balance.,balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit
"The transfer appears in history, yet available funds remain unchanged.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"I added money by bank transfer, but the ledger didn’t increase.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"After an international transfer, the balance is still identical.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
A Faster Payment was sent—why is the balance still stale?,balance_not_updated_after_bank_transfer,pending_transfer
"I initiated a transfer from my domestic bank earlier today, received their confirmation, and even see a pending entry in your app; however, my available balance has not increased at all, so I need clarity on posting times and whether additional checks are delaying settlement.",balance_not_updated_after_bank_transfer,pending_transfer
"Two days ago I sent funds from abroad and expected them by now; the sending bank shows “completed,” but your balance remains unchanged—please verify if cross-border transfers require extra clearing steps, weekend processing, or compliance reviews before the credit reaches my available funds.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"I pushed money from my UK account a few hours back; despite a reference number and successful receipt on their side, my balance here still reflects the pre-transfer amount—confirm whether Faster Payments post instantly, and if not, provide a realistic timeline for availability.",balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer
"Yesterday evening I made a SEPA transfer with the correct IBAN and reference; your transaction list displays an entry without a corresponding balance change—advise if partial posting, cut-off times, or overnight batching could cause this discrepancy, and when the funds will be usable.",balance_not_updated_after_bank_transfer,pending_transfer
"My payroll landed into my external bank and I immediately transferred a portion in; your app acknowledges the transfer, but available funds haven’t moved—explain whether holds, anti-fraud checks, or reconciliation delays are preventing the credit from updating the balance in real time.",balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient
"I funded this account from a joint account at another institution; the sender shows the debit, yet your balance hasn’t budged—please check for mismatched references, name checks, or beneficiary verification steps that might park the transfer off-ledger until manual review completes.",balance_not_updated_after_bank_transfer,beneficiary_not_allowed
"This morning I used an online banking transfer with the exact beneficiary details saved previously; now I see a “received” status without a balance change—confirm if you’re applying pending holds for large amounts, and specify when the posting will convert to available funds.",balance_not_updated_after_bank_transfer,pending_transfer
"My international transfer crossed a weekend and a public holiday; the sending bank marks it as settled, but the balance here still ignores it—do you batch international credits, and should I expect the amount to appear after the next clearing window or business day cut-off?",balance_not_updated_after_bank_transfer,pending_transfer
"I sent a small test transfer first, which posted correctly, then a larger one that hasn’t moved my balance—could tiered risk checks or per-day caps push the second credit into a pending state; if so, when will it be released to available funds?",balance_not_updated_after_bank_transfer,pending_top_up
"Support previously told me transfers usually post within hours; it’s now well past that window, and my balance hasn’t updated despite a valid reference—please reconcile the transaction, confirm the exact posting time, and let me know if additional documentation is holding the credit.",balance_not_updated_after_bank_transfer,pending_transfer
"UK FPS ref # seen at sender, but balance here = unchanged—post failed or delayed?",balance_not_updated_after_bank_transfer,pending_transfer
"SEPA shows “completed”; app lists entry, no funds in available—stuck in pending?",balance_not_updated_after_bank_transfer,pending_transfer
"xfer hit ledger, avail stays same—hold/limit applied? need release ETA.",balance_not_updated_after_bank_transfer,disposable_card_limits
Intl wire Fri night → Mon AM balance still old; holiday batch causing lag?,balance_not_updated_after_bank_transfer,transfer_timing
"Sender debited, beneficiary here not credited—trace needed; confirm reference.",balance_not_updated_after_bank_transfer,beneficiary_not_allowed
My cash deposit isn’t reflected in my balance yet.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
I deposited a check yesterday and the balance hasn’t moved.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"Cash went into the account this morning, but it’s not visible.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"Mobile check deposit shows submitted, no balance update.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"Branch teller took my cash, but funds aren’t available.",balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal
"ATM cash deposit succeeded, balance still the same.",balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal
Why is my check deposit still pending with no balance change?,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
I don’t see the cash I put in last week on my account.,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"The ledger lists my cash deposit, but available funds didn’t increase.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"After a night drop check, my balance didn’t update.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"I made a cash deposit at your branch around noon, received the printed receipt, and even see a provisional entry in my activity feed; however, my available balance hasn’t increased at all—please confirm posting times, holds, or cut-off rules that could delay access to the funds.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"Yesterday I used mobile deposit to upload a paycheck, completed front and back images, and endorsed “for mobile deposit only”; the app shows processing, but my balance is unchanged—advise whether additional verification, business-day cutoffs, or limits on new accounts are impacting availability.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"I fed cash into your ATM in three bundles, got a confirmation slip, and saw the total on screen; despite that, neither pending nor available balances moved—please check for reconciliation delays, envelope-free read errors, or a review hold before the credit is posted.",balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal
"A check I mailed to your lockbox cleared the sender according to their bank, yet my balance here hasn’t budged; if there’s a longer clearing window, return item review, or name-match check involved, I need an ETA on when the deposit will become available.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"This morning’s cash deposit should be immediate, but the account still shows yesterday’s figure; could an account-level hold, daily cash acceptance limit, or system maintenance be preventing the update, and will the balance adjust automatically without further action from me?",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"My mobile check deposit first showed “accepted,” then reverted to “pending,” and the balance never changed; please clarify whether duplicate detection, endorsement issues, or amount mismatches triggered a manual review and when funds are expected to post to available.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"I deposited cash at a partner ATM while traveling abroad; the receipt lists your institution, but my balance at home remains unchanged—confirm whether partner deposits settle next business day, and if exchange or network delays could be holding the credit temporarily.",balance_not_updated_after_cheque_or_cash_deposit,wrong_exchange_rate_for_cash_withdrawal
"A corporate check was deposited to my business account, and I can see it under recent activity; the available balance still excludes it—are there separate availability schedules for large checks, and when will the funds clear for payroll tomorrow morning?",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"Last week I placed a check in the night drop; support confirmed receipt, yet the balance hasn’t updated—if weekend or holiday processing applies, please tell me exactly when I should see the deposit reflected and whether partial availability will appear first.",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
"I split a deposit into cash and check at the counter, but only the cash portion seems reflected; the combined receipt totals are correct—can you reconcile the check component and update the available balance so vendor payments won’t fail later today?",balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit
Cash dep at ATM posted to “activity” but avail = 0; hold applied? need release.,balance_not_updated_after_cheque_or_cash_deposit,wrong_amount_of_cash_received
Mobile chk dep shows proc’ing forever—balance stale; nudge posting or reject if needed.,balance_not_updated_after_cheque_or_cash_deposit,top_up_reverted
"Night-drop chk a week ago, still no funds—trace ticket now, pls.",balance_not_updated_after_cheque_or_cash_deposit,top_up_reverted
Teller took $900 cash; app still shows yesterday’s balance—cache or hold?,balance_not_updated_after_cheque_or_cash_deposit,cash_withdrawal_not_recognised
"chk dep ok at sender, not here—cross-bank mismatch? ref# available on request.",balance_not_updated_after_cheque_or_cash_deposit,transfer_not_received_by_recipient
Transfer to my beneficiary was blocked; please enable or explain the restriction.,beneficiary_not_allowed,beneficiary_not_allowed
My payment to the saved beneficiary failed and the app shows “transfer not allowed.”,beneficiary_not_allowed,beneficiary_not_allowed
I can’t add this payee as a beneficiary; the system rejects the request.,beneficiary_not_allowed,beneficiary_not_allowed
Why is this beneficiary marked as not eligible for transfers on my account?,beneficiary_not_allowed,beneficiary_not_allowed
The transfer to my mother’s account was denied due to beneficiary rules.,beneficiary_not_allowed,beneficiary_not_allowed
Beneficiary status shows “disallowed”; release the block or state the reason.,beneficiary_not_allowed,beneficiary_not_allowed
"Adding a new beneficiary keeps failing, even though details are correct.",beneficiary_not_allowed,beneficiary_not_allowed
My transfer bounced with “beneficiary not permitted”—what policy is triggering this?,beneficiary_not_allowed,beneficiary_not_allowed
I’m not allowed to send money to this beneficiary; remove the restriction.,beneficiary_not_allowed,beneficiary_not_allowed
The app refuses to verify my beneficiary and cancels the transfer.,beneficiary_not_allowed,beneficiary_not_allowed
"I successfully sent to this beneficiary before, but now every attempt is rejected with a “not allowed” message; confirm whether new compliance checks, sanctions screening, or account-tier limits are preventing the payout and what steps I must complete to restore access.",beneficiary_not_allowed,beneficiary_not_allowed
"A scheduled payment to a long-standing beneficiary failed at authorization, citing restrictions on the recipient; verify if name matching, IBAN format, or country risk rules have changed, and advise how to re-enable transfers without deleting the beneficiary record.",beneficiary_not_allowed,beneficiary_not_allowed
"The system blocks transfers to my brokerage beneficiary and flags “category restricted”; clarify whether investment or crypto-related recipients are barred on my plan, and provide an approved pathway or documentation needed to unlock this destination.",beneficiary_not_allowed,beneficiary_not_allowed
"I attempted to add a charity as beneficiary, but onboarding was refused due to policy; please confirm if non-profits in that region are restricted, whether extra verification is required, and how to whitelist the recipient without creating a duplicate payee.",beneficiary_not_allowed,beneficiary_not_allowed
"My external bank account is listed as a beneficiary, yet payouts are denied at review; check for account name mismatch, dormant status, or missing micro-deposit verification, and tell me the exact correction needed to complete the transfer today.",beneficiary_not_allowed,beneficiary_not_allowed
"A high-value transfer to a business beneficiary was blocked for “risk limits exceeded”; outline the per-day and per-beneficiary caps, whether tier upgrades are available, and if splitting into multiple smaller payments would comply without breaching policy.",beneficiary_not_allowed,beneficiary_not_allowed
"The app says “beneficiary unsupported by network” when sending to an overseas account; confirm if corridor restrictions apply, whether SWIFT/SEPA type must change, and if I need additional beneficiary fields (purpose codes or address) to proceed.",beneficiary_not_allowed,beneficiary_not_allowed
"My recurring payment failed because the beneficiary is now “disallowed”; provide an audit trail of rule changes, any expired KYC documents, and the re-verification steps required to restore the standing order before the next due date.",beneficiary_not_allowed,beneficiary_not_allowed
"Every attempt to approve a new beneficiary triggers a security hold; let me know if I must complete stronger authentication, update my ID details, or wait for manual review before the recipient becomes transferable.",beneficiary_not_allowed,beneficiary_not_allowed
"Transfers to my exchange beneficiary are blocked under “virtual asset policy”; state the supported recipient categories for my account tier and the compliance documentation, if any, that would allow future payouts to that platform.",beneficiary_not_allowed,beneficiary_not_allowed
xfer denied: “beneficiary not permitted”—policy ID? need override or route.,beneficiary_not_allowed,beneficiary_not_allowed
beneficiary add → hard fail; details correct; whitelist requested ASAP.,beneficiary_not_allowed,beneficiary_not_allowed
prev allowed payee now blocked; limits or sanctions hit? need fix.,beneficiary_not_allowed,pin_blocked
"can’t pay saved recipient; auth passes, rule rejects—trace reason code.",beneficiary_not_allowed,beneficiary_not_allowed
crypto/exchange beneficiary blocked by policy—need approved alternative.,beneficiary_not_allowed,beneficiary_not_allowed
Cancel my last transfer.,cancel_transfer,cancel_transfer
I need to stop a payment I just sent.,cancel_transfer,cancel_transfer
Reverse the transaction I made this morning.,cancel_transfer,cancel_transfer
Can I void the transfer before it posts?,cancel_transfer,beneficiary_not_allowed
Stop the outgoing transfer—it’s to the wrong account.,cancel_transfer,cancel_transfer
Revoke my most recent bank transfer now.,cancel_transfer,balance_not_updated_after_bank_transfer
I want to cancel that payment immediately.,cancel_transfer,reverted_card_payment?
Undo the transfer; I used the wrong account.,cancel_transfer,cancel_transfer
